Postal_code,Population
50667,4615
50668,12281
50670,18122
50672,9640
50674,19385
50676,15842
50677,13789
50678,19158
50679,15463
50733,36526
50735,33703
50737,19705
50739,27848
50765,31928
50767,17510
50823,31188
50825,28247
50827,28444
50829,20286
50858,26197
50859,26842
50931,15950
50933,20740
50935,17816
50937,27881
50939,15676
50968,28365
50969,21335
50996,15892
50997,22117
50999,20473
51061,31781
51063,34756
51065,24060
51067,27878
51069,31504
51103,40121
51105,28453
51107,33010
51109,31028
51143,24555
51145,28027
51147,25051
51149,24455
